Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
1.01145,1.502973, -1.448336,-0.0007012406,-0.3465935, -0.0006342959,
